,oclc_number,title,creator,contributor,description,date,book_format,language,publisher
0,311887493,"Sociological theory / 1, From the 1850s to the 1920s.","Münch, Richard.",,,1994,"x, 253 Seiten.",eng,Nelson-Hall
1,62123162,Sociological theory ,"Adams, Bert N.","Sydie, R. A. (Rosalind Ann), 1940-","Originally published: Thousand Oaks, Calif. : Pine Forge Press, 2001.",2002,"xxx, 612 pages ; 24 cm",eng,Vistaar
2,995616403,Sociological theory ,,"Wallace, Walter L.",First published 1969 by Transaction Publishers.,2017,1 online resource : illustrations,eng,Routledge
3,21769128,Sociological theory : a book of readings ,,"Coser, Lewis A., 1913-2003.",5th ed.,"1989, ©1982","xviii, 603 pages ; 23 cm",eng,Waveland Press
4,893100430,Essays in sociological theory ,"Parsons, Talcott.",,"Title from resource description page (Recorded Books, viewed October 13, 2014).",2014,1 online resource,eng,Free Press
5,549028728,The structure of sociological theory ,"Turner, Jonathan H.,",,"7. ed., [Nachdr.].",[2004],"XXV, 529 Seiten : Diagramme ; 24 cm",eng,Wadsworth Thomson
6,863823284,The Nature and Types of Sociological Theory.,"Martindale, Don.",,"First Published in 1998. Routledge is an imprint of Taylor & Francis, an informa company.",2013,1 online resource (573 pages).,eng,Taylor and Francis
7,778811797,Key problems of sociological theory ,"Rex, John.",,,2010,"ix, 194 pages.",eng,Routledge
8,  2011031071,The emergence of sociological theory ,"Turner, Jonathan H.","Beeghley, Leonard.",7th ed.,©2012,"xvi, 502 pages : illustrations ; 26 cm",eng,Pine Forge Press
9,  2016036790,Classical sociological theory,"Ritzer, George,","Stepnisky, Jeffrey,",,,"xxi, 569 Seiten 26 cm",eng,
10,   76023095 ,"Sociological theory, its nature and growth ","Timasheff, Nicholas S. (Nicholas Sergeyevitch), 1886-1970.","Theodorson, George A.,",4th ed.,©1976,"xi, 403 pages ; 25 cm",eng,Random House
11,428776282,Sociological theory : classical statements ,"Ashley, David, 1950-","Orenstein, David Michael, 1951-",7th ed.,2009,pages cm,eng,Allyn and Bacon 
12,993835751,Sociological theory ,"Ritzer, George (1940- ).","Stepnisky, Jeffrey.",10th edition.,cop. 2018,"XXIII, [1], 802 s. : il. ; 26 cm.",eng,Sage
13,74522299,Sociological theory ,"Eisenberg, Anne F.",,,2007,pages cm,eng,Allyn and Bacon
