,oclc_number,institutionIdentifier,physicalLocation,physicalAddress,copiesCount,latitude,longitude
0,62123162,OTC,Otterbein University,"Westerville, OH 43081 United States",1,40.1261743,-82.9290696
1,62123162,ANTCH,Antioch University Library,"Yellow Springs, OH 45387 United States",1,39.8045432,-83.8925234
2,62123162,ASC,Ashland University,"Ashland, OH 44805 United States",1,40.8686675,-82.3182178
3,62123162,FIN,University of Findlay,"Findlay, OH 45840 United States",1,41.0413873,-83.6503982
4,62123162,WV3,West Virginia University at Parkersburg,"Parkersburg, WV 26104 United States",1,39.2699565,-81.5506916
5,62123162,XAV,Xavier University,"Cincinnati, OH 45207 United States",1,39.1014537,-84.5124602
6,62123162,VCO,Union Institute & University,"Cincinnati, OH 45206 United States",1,39.1014537,-84.5124602
7,62123162,IEC,Earlham College,"Richmond, IN 47374 United States",1,39.8286897,-84.8898521
8,62123162,MAL,Malone University,"Canton, OH 44709 United States",1,40.7989522,-81.3784445
9,62123162,KUY,Maysville Community and Technical College,"Maysville, KY 41056 United States",1,38.6411854,-83.744365
